open_time,open,high,low,close,vol,close_time
1506542400.0,4189.00000000,4200.00000000,4164.00000000,4195.00000000,9.75011000,1506545999999
1506546000.0,4176.10000000,4207.54000000,4152.01000000,4207.54000000,15.19310200,1506549599999
1506549600.0,4208.02000000,4249.94000000,4181.72000000,4207.95000000,23.77750800,1506553199999
1506553200.0,4186.00000000,4233.05000000,4185.10000000,4193.00000000,17.01092800,1506556799999
1506556800.0,4192.11000000,4219.99000000,4152.02000000,4152.02000000,39.96542100,1506560399999
1506560400.0,4180.00000000,4199.99000000,4160.00000000,4187.99000000,19.11139300,1506563999999
1506564000.0,4178.00000000,4197.97000000,4148.99000000,4170.00000000,41.00898900,1506567599999
1506567600.0,4150.01000000,4200.01000000,4140.01000000,4200.00000000,35.26180200,1506571199999
1506571200.0,4200.00000000,4300.00000000,4185.00000000,4242.01000000,41.16056500,1506574799999
1506574800.0,4242.01000000,4270.00000000,4200.01000000,4230.00000000,26.29468400,1506578399999
1506578400.0,4239.99000000,4258.83000000,4200.02000000,4235.01000000,20.13935900,1506581999999
1506582000.0,4255.00000000,4256.98000000,4223.95000000,4246.00000000,38.23798400,1506585599999
1506585600.0,4247.00000000,4269.99000000,4246.00000000,4267.89000000,26.95757600,1506589199999
1506589200.0,4269.00000000,4272.45000000,4230.00000000,4256.56000000,26.06869800,1506592799999
1506592800.0,4267.99000000,4269.00000000,4136.00000000,4148.00000000,48.85170400,1506596399999
1506596400.0,4140.96000000,4198.98000000,4140.00000000,4180.00000000,45.45896500,1506599999999
1506600000.0,4170.19000000,4201.10000000,4136.10000000,4189.02000000,57.82154200,1506603599999
1506603600.0,4189.02000000,4210.00000000,4150.01000000,4150.05000000,36.66613700,1506607199999
1506607200.0,4180.00000000,4195.00000000,4101.00000000,4128.99000000,55.08342300,1506610799999
1506610800.0,4128.00000000,4169.93000000,4101.00000000,4168.00000000,42.75368500,1506614399999
1506614400.0,4133.03000000,4209.50000000,4133.03000000,4154.00000000,22.30657500,1506617999999
1506618000.0,4162.00000000,4209.68000000,4154.00000000,4187.00000000,38.08912800,1506621599999
1506621600.0,4188.74000000,4190.00000000,4140.07000000,4147.01000000,27.89673500,1506625199999
1506625200.0,4147.01000000,4169.95000000,4110.00000000,4149.99000000,30.14344000,1506628799999
1506628800.0,4143.12000000,4169.96000000,4114.03000000,4129.99000000,38.91445200,1506632399999
1506632400.0,4131.87000000,4194.99000000,4130.00000000,4184.98000000,26.89248200,1506635999999
1506636000.0,4184.98000000,4190.00000000,4136.26000000,4150.00000000,50.53118100,1506639599999
1506639600.0,4150.00000000,4179.30000000,4140.05000000,4174.50000000,14.16940500,1506643199999
1506643200.0,4178.98000000,4195.99000000,4170.00000000,4195.98000000,23.60684100,1506646799999
